Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
1874, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1058,279,,7.0
17618, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1227,0,,45.0
19473, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1236,0,,49.0
24416, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1174,0,,59.0
40792, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-943,0,,100.0
42254, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-924,130,,103.0
43885, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-932,12,,105.0
44740, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-926,10,,107.0
45597, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-961,0,,108.0
46477, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1024,113,,109.0
48109, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1007,7,,113.0
49165, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-973,0,,115.0
51764, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-955,0,,121.0
54105, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1236,3,,125.0
56191, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,128.0
58539, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1204,0,,132.0
60371, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1241,90,,136.0
61549, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1177,0,,140.0
62926, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,232,,142.0
64298, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1075,214,,147.0
65218, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,174,,149.0
66170, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-958,213,,151.0
69481, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-873,0,,156.0
74576, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-902,0,,168.0
75984, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1111,5,,170.0
77023, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1245,72,,172.0
88374, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,3,,194.0
97036, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-962,154,,216.0
99191, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-937,160,,220.0
100404, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-864,147,,222.0
112082, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-741,209,,245.0
118873, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1234,0,,256.0
120969, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1239,13,,260.0
123263, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1156,149,,261.0
165992, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,352.0
169233, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1268,22,,360.0
171760, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,31,,362.0
177975, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1272,5,,373.0
179662, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1273,0,,374.0
187605, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1106,0,,398.0
188525, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1056,150,,399.0
192132, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1118,141,,407.0
195001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1201,176,,411.0
197540, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,135,,415.0
202571, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,419.0
203962, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1270,0,,422.0
205474, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1111,0,,424.0
206617, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-994,213,,426.0
207970, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1239,168,,429.0
211360, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,435.0
227054, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,474.0
228182, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,39,,476.0
229175, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1265,0,,477.0
239885, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1194,76,,497.0
240837, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1155,109,,498.0
241764, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1150,104,,500.0
242675, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1088,0,,502.0
258762, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1004,90,,526.0
260001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1090,156,,529.0
267472, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1115,85,,547.0
268336, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1264,51,,550.0
270231, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,553.0
271008, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1279,52,,554.0
273438, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,72,,557.0
275446, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,46,,562.0
276384, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1260,46,,564.0
278198, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,52,,568.0
279174, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1278,51,,570.0
280485, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,106,,573.0
281021, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,113,,573.0
293411, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,100,,602.0
295243, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1242,155,,607.0
297715, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1204,99,,614.0
298698, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1204,99,,617.0
304426, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,11,,632.0
306650, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,30,,637.0
308225, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1231,64,,641.0
309313, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1194,145,,644.0
310592, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1194,55,,647.0
311495, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,648.0
313249, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,51,,652.0
314112, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1114,129,,654.0
316720, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-838,128,,659.0
317543, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-778,156,,661.0
318416, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-748,67,,663.0
319206, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-778,25,,665.0
319945, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-953,16,,666.0
320703, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-979,105,,668.0
321566, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-884,158,,669.0
322231, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-809,169,,670.0
322966, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-771,100,,672.0
323647, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-775,108,,674.0
327197, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-827,134,,679.0
328134, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-823,134,,682.0
329823, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-998,118,,684.0
330589, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-966,128,,686.0
331348, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1075,88,,688.0
332334, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1151,239,,691.0
333101, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-939,335,,692.0
333725, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-745,358,,694.0
334308, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-608,106,,696.0
334933, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-679,81,,697.0
335597, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-880,73,,698.0
336317, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-883,157,,700.0
337020, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-759,241,,702.0
352996, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-700,542,,721.0
356209, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-501,561,,732.0
358092, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-402,490,,735.0
359042, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-254,402,,738.0
361036, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-380,368,,746.0
363737, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-556,338,,752.0
383413, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-912,0,,800.0
384221, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-872,0,,803.0
384964, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-832,0,,805.0
428005, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-678,0,,903.0
433553, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-904,71,,915.0
434515, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-998,0,,918.0
435453, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-893,0,,921.0
436084, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-803,103,,922.0
436805, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-889,124,,925.0
437501, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-833,175,,926.0
438136, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-924,132,,928.0
438747, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-926,129,,929.0
440803, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1259,0,,936.0
443162, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1127,0,,943.0
444274, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1161,0,,946.0
447842, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1262,40,,954.0
451345, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1255,22,,959.0
452060, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1273,34,,962.0
456009, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1254,0,,973.0
477156, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1251,247,,1021.0
478196, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1251,247,,1022.0
487915, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1135,329,,1041.0
493066, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1117,366,,1052.0
493929, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-972,163,,1054.0
494562, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1083,123,,1055.0
495170, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,121,,1057.0
496018, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,184,,1060.0
501897, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,321,,1076.0
502798, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1102,369,,1079.0
503456, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1051,185,,1080.0
504153, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1136,104,,1081.0
504848, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1183,74,,1082.0
505736, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1249,204,,1084.0
506536, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1044,268,,1087.0
507264, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,145,,1089.0
622284, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1268,3,,1304.0
624021, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1244,26,,1307.0
628428, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,1318.0
629675, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,1321.0
633099, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,54,,1327.0
696640, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-912,0,,1466.0
698320, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1197,27,,1470.0
699543, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1095,122,,1473.0
701007, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1021,0,,1476.0
751671, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-853,122,,1582.0
752503, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-748,0,,1584.0
753255, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-818,0,,1586.0
754142, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-947,174,,1588.0
755503, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-758,151,,1594.0
757094, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-709,107,,1597.0
757830, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-655,37,,1598.0
758870, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-787,0,,1599.0
760015, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-894,115,,1601.0
761462, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-772,117,,1603.0
762943, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-718,215,,1607.0
763797, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-960,271,,1609.0
764436, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1162,244,,1610.0
765093, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1169,94,,1611.0
765725, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1143,0,,1612.0
766510, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-981,0,,1614.0
767219, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-942,149,,1615.0
884001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1022,31,,1890.0
884825, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,19,,1891.0
1067410, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,107,,2277.0
1068250, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1225,155,,2279.0
1068986, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1135,29,,2282.0
1069751, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,2283.0
1070393, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,163,,2284.0
1071025, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1157,194,,2286.0
1072058, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1174,190,,2289.0
1072977, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1147,208,,2292.0
1073825, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1065,90,,2294.0
1074800, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1065,90,,2296.0
1076560, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1065,90,,2300.0
1079026, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1072,76,,2305.0
1080599, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1114,138,,2308.0
1086087, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,58,,2320.0
1086799, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,2321.0
1088663, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,2325.0
1089612, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1121,0,,2326.0
1090519, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-797,0,,2327.0
1091351, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-695,78,,2328.0
1092358, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-745,92,,2329.0
1122225, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-875,64,,2402.0
1122969, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-909,47,,2403.0
1123601, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-851,0,,2404.0
1124209, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-693,0,,2405.0
1124841, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-654,97,,2406.0
1125489, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-622,203,,2407.0
1126273, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-703,236,,2410.0
1126937, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-715,173,,2411.0
