Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
1566, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-561,520,,5.0
180922, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-780,891,,368.0
183890, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-777,886,,374.0
186058, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-777,886,,378.0
192112, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1254,774,,396.0
196399, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-783,883,,404.0
198104, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-700,818,,405.0
199983, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-792,795,,407.0
218556, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-728,424,,450.0
220123, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-695,769,,454.0
228314, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-412,891,,467.0
237752, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,0,1009,,486.0
241982, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-825,315,,493.0
246129, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-707,489,,504.0
248351, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-655,0,,506.0
260806, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-777,0,,539.0
263988, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-782,18,,547.0
266835, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1147,1,,552.0
268467, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1179,8,,555.0
271947, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,561.0
274546, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-818,0,,565.0
276050, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-817,0,,567.0
279802, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-313,112,,576.0
282761, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-185,198,,580.0
286017, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-477,124,,587.0
291275, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-517,0,,594.0
293128, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-517,0,,597.0
314259, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-114,0,,636.0
318387, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-56,142,,642.0
321451, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,0,470,,649.0
323242, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,0,436,,650.0
326336, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,14,,658.0
334001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,681.0
335768, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,0,,684.0
357777, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-244,119,,741.0
361988, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-329,242,,749.0
364348, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-143,64,,750.0
366732, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-703,0,,752.0
370310, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-286,1023,,762.0
372938, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,0,1023,,771.0
376272, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1246,68,,779.0
386944, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-486,439,,810.0
390703, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,190,,822.0
394070, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-896,0,,833.0
395775, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-900,142,,835.0
403069, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-899,139,,852.0
407060, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1044,239,,862.0
409356, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-821,403,,866.0
413404, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-809,391,,878.0
415122, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-527,341,,880.0
416724, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-269,673,,882.0
436275, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-868,443,,940.0
438135, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-818,399,,942.0
442006, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1033,174,,955.0
443247, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1059,430,,958.0
444974, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-635,549,,963.0
454924, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-125,580,,993.0
460460, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-111,526,,1004.0
462790, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-111,526,,1013.0
464251, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-120,583,,1016.0
465898, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,1,733,,1021.0
