Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
19454, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,395,,48.0
133232, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,346.0
136237, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,355.0
138116, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,360.0
143820, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,379.0
145467, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,383.0
146835, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,387.0
148595, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,392.0
149842, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,395.0
210266, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,572.0
254984, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,708.0
258576, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,717.0
262655, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,727.0
264455, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,733.0
265767, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,736.0
267232, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,739.0
269623, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,746.0
270598, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,748.0
271646, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,751.0
277229, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1030,419,,770.0
289515, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,812.0
292931, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,820.0
295692, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,827.0
296706, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,830.0
298218, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,834.0
304704, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,851.0
306184, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,855.0
309512, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,867.0
311263, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,871.0
312631, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,874.0
313991, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1027,421,,877.0
344074, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,972.0
345034, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,975.0
346274, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,979.0
350249, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,994.0
351176, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,997.0
352760, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,1004.0
354001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1019,419,,1007.0
354968, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-931,390,,1011.0
356032, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-931,392,,1014.0
357184, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-931,392,,1019.0
358847, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-931,392,,1023.0
360223, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-927,401,,1028.0
396625, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-948,434,,1130.0
