Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
3353, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-808,163,,10.0
8992, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-808,163,,21.0
202018, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,511.0
217928, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,538.0
219768, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,541.0
224006, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,545.0
225958, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,548.0
227894, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,553.0
230091, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,557.0
233973, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-6,713,,566.0
309832, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,754.0
311571, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,758.0
313151, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,763.0
314080, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,765.0
315015, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,766.0
315855, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,768.0
318606, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,774.0
320070, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,777.0
321534, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,780.0
322758, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,783.0
324013, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,784.0
326080, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,785.0
328173, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,792.0
329381, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,795.0
330572, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,799.0
331564, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,802.0
332812, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,805.0
334060, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,809.0
335700, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,813.0
336916, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,815.0
338115, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,817.0
339611, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,821.0
340900, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,823.0
342570, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,828.0
344618, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,833.0
352073, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,853.0
353113, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,857.0
354009, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,859.0
355353, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,861.0
361359, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,872.0
362703, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,877.0
363783, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,879.0
364854, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,881.0
366062, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,883.0
367646, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,890.0
368998, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,893.0
371166, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,898.0
372445, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,901.0
374997, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-406,210,,906.0
376237, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,910.0
377205, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,913.0
384508, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,931.0
386255, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,934.0
387684, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,938.0
388827, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,942.0
389786, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-407,210,,944.0
399161, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,972.0
401065, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,977.0
402841, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,981.0
411519, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1006.0
412887, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1010.0
414399, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1012.0
415870, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1016.0
435307, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1059.0
436579, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1060.0
437859, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1063.0
438987, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1065.0
447817, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1092.0
449273, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1094.0
451299, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1103.0
452976, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1107.0
455280, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1112.0
457607, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1120.0
460007, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1126.0
461510, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-413,223,,1132.0
528836, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1307.0
531115, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1313.0
535482, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1324.0
536706, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1327.0
537866, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1330.0
539298, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1334.0
543352, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1341.0
552504, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1360.0
553896, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1362.0
555151, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-376,2,,1364.0
567061, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1392.0
568085, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1394.0
569494, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1398.0
570692, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1401.0
571740, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1404.0
572574, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1407.0
573954, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1409.0
575300, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1414.0
576959, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1418.0
579363, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1423.0
585714, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1432.0
586602, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1433.0
588497, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1438.0
589573, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1440.0
590633, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1442.0
591857, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1446.0
593113, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1450.0
594344, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1453.0
595569, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1457.0
596720, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1461.0
610886, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-377,6,,1504.0
612366, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,4,,1507.0
613581, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,3,,1510.0
615141, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,3,,1514.0
617725, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1522.0
618892, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1526.0
619909, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1530.0
620993, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1533.0
622596, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1539.0
623652, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1542.0
624603, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1546.0
625603, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1549.0
626949, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1553.0
628308, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1557.0
629563, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1561.0
630619, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,2,,1564.0
631898, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,4,,1568.0
633146, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1571.0
635402, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1576.0
636646, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1578.0
637985, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1583.0
639033, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1587.0
639905, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1589.0
642454, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-365,5,,1599.0
