Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
3704, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1279,232,,6.0
126838, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,238.0
130325, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,242.0
131517, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,244.0
132869, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,247.0
135236, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,250.0
140756, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,266.0
141731, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,269.0
142655, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-974,945,,270.0
162632, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-985,972,,316.0
163815, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-953,961,,318.0
164895, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-927,955,,319.0
169278, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-927,957,,333.0
172118, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-927,957,,340.0
173886, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-927,957,,347.0
174901, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-925,960,,349.0
180517, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-925,960,,368.0
183588, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-858,1019,,375.0
185068, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-872,1023,,380.0
186628, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-868,1023,,383.0
188443, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-901,1012,,387.0
189995, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-960,923,,389.0
191635, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-979,873,,391.0
192700, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-833,837,,393.0
193731, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-814,894,,394.0
197266, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-805,906,,404.0
198842, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-805,906,,408.0
201098, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-649,908,,413.0
205545, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-603,908,,424.0
206425, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-603,908,,426.0
207352, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-573,941,,428.0
208416, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-579,934,,430.0
209768, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-453,943,,433.0
210904, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-493,920,,436.0
212335, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-469,925,,439.0
214872, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-457,945,,446.0
216742, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-370,981,,450.0
219550, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-370,981,,457.0
220726, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-375,972,,460.0
223774, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-225,977,,469.0
225709, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-478,1004,,473.0
226814, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-483,996,,475.0
227833, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-444,999,,477.0
228701, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-444,999,,479.0
230309, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-444,999,,482.0
231164, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-453,991,,485.0
232365, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-453,990,,486.0
238108, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-296,961,,499.0
239218, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-296,963,,501.0
240979, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-404,951,,507.0
242746, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-275,949,,512.0
